var_a,var_b,chi2,p
Item Purchased,Category,11699.999999999998,0.0
Gender,Size,6.615107840598039,0.08523181331915772
Category,Size,8.99419774479878,0.4378099622591345
Gender,Item Purchased,24.25085212963404,0.44733015703991086
Customer ID,Location,191100.0,0.4679829239524363
Customer ID,Item Purchased,93600.0,0.47726726452342544
Customer ID,Category,11700.000000000002,0.490437841765952
Customer ID,Size,11700.0,0.49043784176595673
Customer ID,Gender,3899.999999999999,0.49247134185664443
Location,Size,144.63599866921743,0.539697517214638
Gender,Location,46.52374511634349,0.5740860772778297
Item Purchased,Location,1139.8899171755015,0.7699114627070537
Item Purchased,Size,61.46791900858009,0.8073680239556905
Gender,Category,0.5984208314833445,0.8967937925861853
Category,Location,124.54588038650303,0.9104402894094743
