Customer ID,freq_per_year,spend_bucket,segment
1,0.0,Medium,Very Low
2,0.0,High,Very Low
3,52.0,High,High
4,52.0,Very High,High
5,0.0,Medium,Very Low
6,52.0,Low,High
7,4.0,Very High,Low
8,52.0,Low,High
9,0.0,Very High,Very Low
10,4.0,Low,Low
11,0.0,Low,Very Low
12,0.0,High,Very Low
13,0.0,High,Very Low
14,52.0,Medium,High
15,52.0,Medium,High
16,12.0,High,Medium
17,0.0,Low,Very Low
18,4.0,Low,Low
19,52.0,Medium,High
20,0.0,Very High,Very Low
21,0.0,Medium,Very Low
22,4.0,High,Low
23,0.0,Low,Very Low
24,52.0,Very High,High
25,52.0,Low,High
26,0.0,Low,Very Low
27,0.0,Low,Very Low
28,0.0,Medium,Very Low
29,0.0,Very High,Very Low
30,52.0,Medium,High
31,12.0,Low,Medium
32,12.0,High,Medium
33,0.0,High,Very Low
34,4.0,Low,Low
35,4.0,Very High,Low
36,0.0,Low,Very Low
37,0.0,High,Very Low
38,52.0,Medium,High
39,0.0,Low,Very Low
40,12.0,Medium,Medium
41,4.0,High,Low
42,0.0,Low,Very Low
43,0.0,Very High,Very Low
44,0.0,High,Very Low
45,52.0,Medium,High
46,0.0,Low,Very Low
47,4.0,Medium,Low
48,52.0,Medium,High
49,12.0,Medium,Medium
50,0.0,Low,Very Low
51,0.0,Low,Very Low
52,4.0,Medium,Low
53,52.0,Low,High
54,52.0,Low,High
55,0.0,Very High,Very Low
56,0.0,Low,Very Low
57,52.0,High,High
58,0.0,High,Very Low
59,12.0,Medium,Medium
60,52.0,High,High
61,52.0,Low,High
62,0.0,High,Very Low
63,0.0,Low,Very Low
64,52.0,High,High
65,0.0,Very High,Very Low
66,0.0,Low,Very Low
67,0.0,Very High,Very Low
68,12.0,Low,Medium
69,0.0,Medium,Very Low
70,52.0,High,High
71,0.0,Low,Very Low
72,0.0,Medium,Very Low
73,0.0,Low,Very Low
74,0.0,Very High,Very Low
75,12.0,Medium,Medium
76,0.0,Very High,Very Low
77,12.0,Medium,Medium
78,0.0,Medium,Very Low
79,0.0,Very High,Very Low
80,0.0,Very High,Very Low
81,0.0,High,Very Low
82,0.0,Very High,Very Low
83,0.0,Low,Very Low
84,52.0,Medium,High
85,0.0,Low,Very Low
86,0.0,Very High,Very Low
87,0.0,Medium,Very Low
88,0.0,Medium,Very Low
89,12.0,Medium,Medium
90,4.0,Very High,Low
91,12.0,Medium,Medium
92,0.0,Very High,Very Low
93,0.0,Very High,Very Low
94,52.0,High,High
95,52.0,High,High
96,12.0,Very High,Medium
97,0.0,High,Very Low
98,0.0,Very High,Very Low
99,0.0,High,Very Low
100,4.0,Medium,Low
101,0.0,Very High,Very Low
102,0.0,Very High,Very Low
103,4.0,High,Low
104,0.0,Very High,Very Low
105,12.0,Low,Medium
106,0.0,Very High,Very Low
107,12.0,Low,Medium
108,0.0,High,Very Low
109,0.0,High,Very Low
110,0.0,Very High,Very Low
111,0.0,Low,Very Low
112,0.0,High,Very Low
113,0.0,High,Very Low
114,4.0,Medium,Low
115,52.0,Very High,High
116,0.0,Very High,Very Low
117,0.0,Very High,Very Low
118,0.0,Low,Very Low
119,0.0,Medium,Very Low
120,0.0,High,Very Low
121,0.0,Very High,Very Low
122,0.0,High,Very Low
123,0.0,Medium,Very Low
124,52.0,Very High,High
125,0.0,Very High,Very Low
126,0.0,Medium,Very Low
127,0.0,Low,Very Low
128,52.0,Very High,High
129,0.0,Low,Very Low
130,0.0,High,Very Low
131,0.0,Low,Very Low
132,52.0,Low,High
133,52.0,Medium,High
134,0.0,High,Very Low
135,12.0,Very High,Medium
136,4.0,High,Low
137,4.0,Very High,Low
138,52.0,Medium,High
139,52.0,Low,High
