Missing Values Summary
                        missing_count  missing_pct
Promo Code Used                  1356        34.77
Review Rating                    1215        31.15
Age                               997        25.56
Subscription Status               816        20.92
Customer ID                         0         0.00
Gender                              0         0.00
Location                            0         0.00
Item Purchased                      0         0.00
Category                            0         0.00
Purchase Amount (USD)               0         0.00
Season                              0         0.00
Color                               0         0.00
Size                                0         0.00
Shipping Type                       0         0.00
Discount Applied                    0         0.00
Previous Purchases                  0         0.00
Payment Method                      0         0.00
Frequency of Purchases              0         0.00
